benchmark_type,broker_count,partitions,replication_factor,min_insync_replicas,num_records,record_size_bytes,throughput_limit_records_per_sec,producer_count,consumer_count,batch_size,linger_ms,acks,compression_type,trial_index,comparison_mode,metric,metric_label,pct_change_vs_plaintext,penalty_pct_vs_plaintext
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,2.5455045999342225,2.5455045999342225
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,2.2073461585584555,2.2073461585584555
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,7.2079772079772075,7.2079772079772075
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,-100.0,-100.0
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,0.439267364788025,0.439267364788025
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,mtls,records_consumed,records consumed,0.0,0.0
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,mtls,throughput_records_per_sec,Throughput records/s,-37.76041661065104,37.76041661065104
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,mtls,throughput_mb_per_sec,Throughput MB/s,-37.76052118921987,37.76052118921987
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,mtls,data_consumed_mb,Data consumed MB,0.0,0.0
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,mtls,rebalance_time_ms,Consumer rebalance time ms,61.31045241809673,61.31045241809673
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,mtls,fetch_time_ms,Consumer fetch time ms,60.43453401943968,60.43453401943968
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,-38.91288010561821,-38.91288010561821
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,mtls,broker_cpu_percent_mean,Broker CPU mean %,-66.35856089730505,-66.35856089730505
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,-37.29346970889063,-37.29346970889063
