benchmark_type,broker_count,partitions,replication_factor,min_insync_replicas,num_records,record_size_bytes,throughput_limit_records_per_sec,producer_count,consumer_count,batch_size,linger_ms,acks,compression_type,trial_index,comparison_mode,metric,metric_label,pct_change_vs_plaintext,penalty_pct_vs_plaintext
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,broker_memory_used_percent_mean,Broker memory %,-3.2118209198046763,-3.2118209198046763
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,40.425954758365044,40.425954758365044
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,3.565078582214751,3.565078582214751
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,2.6060004601841293,2.6060004601841293
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,3.0221311909809994,3.0221311909809994
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,2.6060004601841427,2.6060004601841427
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,3.0221311909809994,3.0221311909809994
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,-44.201564657156005,-44.201564657156005
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,2.882522850472833,2.882522850472833
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,lz4,3,mtls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,2.8825228504728364,2.8825228504728364
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,none,1,tls,throughput_records_per_sec,Throughput records/s,0.03099292716172332,-0.03099292716172332
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,none,1,tls,throughput_mb_per_sec,Throughput MB/s,0.0,0.0
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,none,1,tls,avg_latency_ms,Average latency ms,46.928746928746925,46.928746928746925
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,none,1,tls,max_latency_ms,Maximum latency ms,70.46263345195729,70.46263345195729
producer,5,6,3,3,100000,1024,1000,1,1,131072,5,1,none,1,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,0.03099292716172332,-0.03099292716172332
