sweep_value,run_count,throughput_records_per_sec_mean,throughput_records_per_sec_min,throughput_records_per_sec_max,throughput_mb_per_sec_mean,throughput_mb_per_sec_min,throughput_mb_per_sec_max,avg_latency_ms_mean,avg_latency_ms_min,avg_latency_ms_max,max_latency_ms_mean,max_latency_ms_min,max_latency_ms_max
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-complz4-trial1,1,998.63519,998.63519,998.63519,0.96,0.96,0.96,118.6408866,118.6408866,118.6408866,10834,10834.0,10834.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-complz4-trial2,1,997.788888,997.788888,997.788888,0.96,0.96,0.96,113.5933986,113.5933986,113.5933986,10436,10436.0,10436.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-complz4-trial3,1,998.694111,998.694111,998.694111,0.96,0.96,0.96,106.571453,106.571453,106.571453,10043,10043.0,10043.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-compnone-trial1,1,998.154552,998.154552,998.154552,0.96,0.96,0.96,107.0131375,107.0131375,107.0131375,11054,11054.0,11054.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-compnone-trial2,1,998.509784,998.509784,998.509784,0.96,0.96,0.96,98.3054341,98.3054341,98.3054341,10145,10145.0,10145.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod12-compnone-trial3,1,998.506404,998.506404,998.506404,0.96,0.96,0.96,104.7206692,104.7206692,104.7206692,9883,9883.0,9883.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod6-complz4-trial1,1,999.471106,999.471106,999.471106,0.96,0.96,0.96,30.033284300000002,30.033284300000002,30.033284300000002,5317,5317.0,5317.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod6-complz4-trial2,1,999.5445500000001,999.5445500000001,999.5445500000001,0.96,0.96,0.96,30.1733762,30.1733762,30.1733762,5095,5095.0,5095.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod6-complz4-trial3,1,999.407338,999.407338,999.407338,0.96,0.96,0.96,25.3800235,25.3800235,25.3800235,5157,5157.0,5157.0
security-overhead-final-factorial-plaintext-b3-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod6-compnone-trial1,1,999.514717,999.514717,999.514717,0.96,0.96,0.96,28.0466112,28.0466112,28.0466112,5142,5142.0,5142.0
