min_insync_replicas,comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,std_penalty_pct,min_penalty_pct,q25_penalty_pct,q75_penalty_pct,max_penalty_pct
3,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,1296,11.098295757682813,3.200180272719863,14.201850812622174,-24.07268572643079,-0.0019935047353031527,19.927474297310482,51.10625567875585
3,tls,throughput_mb_per_sec,Throughput MB/s,1296,10.950951629240647,3.123494168076661,14.099932195726163,-24.05693950177935,0.0,19.833836475043782,51.488833746898266
3,tls,throughput_records_per_sec,Throughput records/s,1296,10.951791452027381,3.115898531027291,14.092771327824389,-24.07268572643079,0.0,19.842988265260168,51.34667555518689
4,mtls,avg_latency_ms,Average latency ms,432,860.3795586391897,540.5843489829127,934.893196174416,7.781497044370059,175.36257797154786,1234.332321840989,5043.967476294827
4,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,432,-5.967457615791184,-0.143083698797144,15.919512335779075,-59.91660356038808,-7.3000159747797495,1.3330844308830387,33.99466027512226
4,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,9,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0
4,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,432,22.92433951331456,8.495984082891827,103.88955132214346,-80.58642705131237,-7.965955298071192,31.49347648926873,1531.3777385678577
4,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,432,4.847248037867622,3.5330097359019144,12.147891892566902,-17.8408031259596,-4.986536975882424,14.247380528489174,35.75514204296636
4,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,432,40.055847793410415,27.06372019879545,60.160286014514114,1.8358858328910075,18.203769045983826,45.120499463026846,921.9783832552105
4,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,432,2.5220984299182114,0.7211876134834716,4.186531245882903,0.2860801916302856,0.47242408301070427,2.0131362728091315,16.567996052778927
4,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,432,-7.95075567327221,-6.820532366976316,20.721004956528255,-60.722967497974246,-26.227155537021314,7.088779592970489,39.360124302563726
4,mtls,broker_cpu_percent_mean,Broker CPU mean %,432,-28.315973741944358,-32.156539306270695,26.072848958203217,-69.75050637690305,-49.30835053557976,-4.067450692290839,47.605673277698024
4,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,201,23.518940754325282,-41.32920588792722,321.7736965505656,-100.0,-89.44099378881988,8.863302681400205,3015.0
4,mtls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,201,23.518940754325282,-41.32920588792722,321.7736965505656,-100.0,-89.44099378881988,8.863302681400201,3015.0
4,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,432,4.316484490657947,0.1486090270003982,24.547936956057413,-65.48989443530847,-3.655481576617742,3.9172233473606486,237.80795594688394
4,mtls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,432,4.316484490657946,0.14860902700040401,24.547936956057413,-65.48989443530847,-3.6554815766177398,3.917223347360648,237.80795594688388
4,mtls,broker_memory_used_percent_mean,Broker memory %,432,-0.1743284719617739,-0.14992109677904567,1.1778983775475014,-2.8579485272456977,-1.0791527595359567,0.9202135436933981,4.061256899535344
4,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,432,1.899809256196329,0.6619954390313372,2.8742930201974497,-1.7488395666892902,0.6275547499655209,1.449368812999948,13.319822179965197
4,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,432,1.899809256196329,0.6619954390313243,2.874293020197451,-1.7488395666892944,0.6275547499655272,1.449368812999948,13.319822179965183
4,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,432,2.022574845154138,0.7894029598507251,2.953680236817892,-2.317717998951289,0.7467125697742969,1.488376675842347,12.47643829904629
4,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,432,2.0225748451541388,0.7894029598507251,2.953680236817892,-2.317717998951278,0.7467125697742962,1.4883766758423471,12.476438299046285
4,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,432,672.1165127568014,322.2344398932538,876.2483702111765,-57.293109408629114,86.447596783742,881.2703489453809,5242.5
4,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,432,530.9701491319602,110.53446344031755,849.5460705743893,-60.625468099989845,84.15204105792374,551.3653921207863,5529.732892744049
4,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,432,190.58541548198568,106.16377807921182,199.2295236943677,-53.44680123161136,65.95740028746079,230.08896247238977,846.9834586466163
4,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,432,87.11148437018959,90.77218674086214,27.374991360777695,-44.49804554197429,71.3717820047307,103.36513128237124,212.95469210622878
4,mtls,max_latency_ms,Maximum latency ms,432,84.88027484117134,86.66892859467552,27.114849125452633,-45.2682563338301,69.79855286884074,101.59763292729403,212.52548791144773
4,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,432,790.5603327322535,472.382504997866,860.3805773993038,7.781497044370059,170.95873248909157,1149.3071825571203,5540.304729049878
4,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,432,984.8935155019544,588.9606286267671,1159.1240516014911,7.781497044370059,185.2659212060418,1259.500181262114,9135.841546626232
4,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,432,9.269497665325256,1.6773642981155485,14.082212966582798,-4.583079656766642,-0.003998358430329751,11.295542822093324,55.70087701314004
4,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,432,9.397649199320693,1.830402719237323,13.922345865833808,-4.583079656766642,-0.016911489360224026,12.983142195411585,53.615550132760944
4,mtls,throughput_mb_per_sec,Throughput MB/s,432,9.331359900184733,1.8078749189187162,13.923733417817834,-4.583443300782963,0.0,12.638147114143845,53.99673735725937
4,mtls,throughput_records_per_sec,Throughput records/s,432,9.32777196071146,1.7992776017563108,13.931245688678972,-4.583079656766642,-0.012335486942205001,12.631008829483566,53.97574956233706
4,tls,avg_latency_ms,Average latency ms,432,861.0531008504954,534.5189873163669,929.0063157204543,-3.3883382089806444,173.55981381634493,1268.9883657932614,4988.133067988069
4,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,432,-1.6354682279056196,0.666306687527551,11.345270872307903,-39.14745571821549,-1.5978924468467275,3.3509521202008434,36.26368267934506
4,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,9,-99.47089947089947,-100.0,1.496522288225501,-100.0,-100.0,-100.0,-95.23809523809523
4,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,432,2.3952037058392697,-6.453526773056329,73.21752457899069,-60.68222621184919,-20.290722198455743,10.250403821530583,1229.6071984772452
4,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,432,8.505264339988965,7.00803362247885,10.902003055777444,-9.01034278947537,-1.4571998876614445,16.28958572005981,38.757858184937824
4,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,432,32.378812053546206,26.480019075012812,33.08474421045344,-2.276736943247181,18.89500371955991,34.1748932941365,210.33076537055314
4,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,432,2.0929372048184858,0.6036355277322979,3.1438806003567366,0.15018968208633668,0.4707123101707564,1.9934932598135497,12.45821944259198
4,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,432,-6.505601468622176,-5.837145385035454,18.9011958627784,-55.47852705501035,-23.51476618616733,6.6630144163893625,42.17871203599551
4,tls,broker_cpu_percent_mean,Broker CPU mean %,432,-19.70235878616129,-26.739494815593368,21.702972358734822,-50.45393538566252,-39.308788205202006,2.3570194229943597,53.4314158635756
4,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,201,244.3214004788577,-56.47790287346665,2868.3216307469133,-100.0,-96.25451661232044,-21.334665949104327,30349.999999999993
4,tls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,201,244.3214004788577,-56.47790287346665,2868.321630746914,-100.0,-96.25451661232044,-21.334665949104327,30350.0
4,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,432,6.3711179968972225,-0.01296704119419723,23.42231560353113,-41.99749073068425,-2.4413502633000124,7.097449165761262,159.39563269702032
4,tls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,432,6.3711179968972225,-0.01296704119418856,23.422315603531125,-41.99749073068425,-2.441350263300019,7.097449165761261,159.39563269702032
4,tls,broker_memory_used_percent_mean,Broker memory %,432,0.7985271380159604,1.1290175580958564,0.8606565275541959,-1.8278710818907191,-0.09252917233645293,1.4930330178088989,3.1790903586156265
