broker_count,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
5,plaintext,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,1296,1369.5892447785493,381.35467600000004,2582.8278909695323,52.335732,123.77276275,999.720078,9976.057462
5,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,1296,1267.2423115408951,255.84173499999997,2501.9199716785097,46.943834,114.76696799999999,999.690096,9976.057462
3,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,432,1468.9033564814815,409.8,2170.681785347504,6.73,131.595,1810.5075,10030.21
3,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,432,391.0619675925926,40.349999999999994,1054.7566670184983,3.05,13.772499999999999,109.15,6371.19
3,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,432,1423.520787037037,328.17499999999995,2146.5657361322246,5.52,107.905,1470.525,10920.83
5,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,1296,1660.4060648148147,427.29499999999996,2458.1029633153425,6.04,140.6175,1981.2025,11795.72
5,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,1296,514.496774691358,53.04,1413.525565491125,2.34,15.0225,142.06,9049.27
5,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,1296,1723.7860185185186,451.135,2550.0742840318894,5.88,128.4775,2053.2075,11985.65
3,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,432,1928.650601851852,511.79999999999995,2713.2578917611695,6.73,170.84,2632.525,11224.44
3,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,432,475.52902777777774,51.655,1164.2895356714562,3.05,17.2975,160.35,6722.15
3,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,432,1763.4100694444444,432.03499999999997,2557.466734888518,5.52,119.415,2147.6150000000002,11554.59
5,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,1296,2093.5183950617284,531.8499999999999,2993.896181827505,6.04,175.8125,2875.415,13905.85
5,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,1296,630.0043287037035,78.91499999999999,1567.720959931683,2.34,18.605,233.83999999999997,9582.54
5,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,1296,2171.9445601851853,578.49,3094.544351933637,5.88,155.2825,2940.6425,13959.67
3,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,432,5800.074050925924,4277.484999999999,5684.603546976787,9.509999999999888,351.505,9549.279999999999,19676.5
3,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,432,2088.550462962956,347.1149999999997,3178.784613174608,4.01,48.43625,3720.414999999997,11489.7
3,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,432,5246.504467592591,4003.6599999999994,5168.414802695016,7.389999999999932,291.00374999999997,8492.385000000002,17415.449999999997
5,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,1296,6551.648163580244,4944.967499999999,6258.036938404748,8.299999999999908,347.67875,10284.156249999945,31667.5
5,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,1296,2512.578707561723,530.4124999999999,3518.208288552193,4.379999999999996,39.36499999999987,5052.157499999877,12560.27
5,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,1296,6723.507692901231,5516.277499999991,6256.189459579757,7.879999999999919,368.675,10852.808749999997,20172.654999999995
3,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,432,8363.43044675926,8247.329999999996,7013.45976488278,47.02200000000001,401.4,16329.825000000004,22023.999999999985
3,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,432,3470.5237962962965,644.1575,3935.38336739277,4.082,113.40724999999998,7456.447499999999,12332.37
3,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,432,7594.60449537037,7457.878,6225.0684167543495,30.35800000000001,334.129,14864.941999999943,18849.319999999992
5,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,1296,9141.750299382717,8915.675000000003,7476.381843367868,39.26000000000001,399.0925000000001,17624.135,32155.5
5,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,1296,4223.789508487654,2178.7159999999976,4345.008385999612,5.676,98.69400000000005,9364.675000000003,13154.794999999998
5,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,1296,8984.279726080245,8760.550000000005,7225.9469614225945,35.09600000000001,445.115,17016.4855,21524.352000000003
3,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,432,8225.353009259255,7674.849999999991,6571.778322976598,138.5999999999976,1335.4250000000002,14805.2,20413.0
3,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,432,3204.3415509259125,1649.875,3161.6726755882974,80.99999999999883,644.05,5037.099999999999,11489.7
