batch_size,comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,std_penalty_pct,min_penalty_pct,q25_penalty_pct,q75_penalty_pct,max_penalty_pct
16384,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,862,2.212853828573364,1.3155878286916436,2.9308774145906837,-18.435208167145294,0.8191069479735602,1.705308493109842,21.962632267418922
16384,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,581.3664746032504,199.01644246512873,1095.2705013694706,-57.91891226073027,83.45304117126815,647.9814868350363,11277.394136807818
16384,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,361.35883716866454,106.34263077676349,528.3898256615432,-82.16071658411711,77.16054705823397,417.20746091938634,3830.288991837635
16384,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,205.46410706489073,97.76930999108106,286.25393359590316,-69.49800796812748,59.25085932178038,189.5543115942097,3041.7113402061814
16384,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,85.90900990990197,86.60710661910446,33.4904851518199,-70.00503139150788,72.04280377189686,101.99944273302003,268.7476013816044
16384,mtls,max_latency_ms,Maximum latency ms,864,85.19292566180214,84.34225858543154,34.84582880141731,-70.12564991334489,69.0142902621632,100.28393211468074,249.7730711043873
16384,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,482.44334153985443,228.11345610868972,596.1657556127242,-21.76277763894809,111.95741631546832,600.1042503878907,3463.503019844694
16384,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,493.2633245189353,269.3892841652121,546.1291498703614,-21.76277763894809,112.60877131917857,693.3107333842629,3383.304297328688
16384,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,8.923948919993464,0.20400605332218374,13.197121974076065,-23.64891307070046,-0.00326134034078766,17.18942514903211,46.74011510997482
16384,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,9.038240035992338,0.16904786642271558,13.084798224973527,-23.64891307070046,-0.019993891815425994,17.596222496289222,47.786616916751576
16384,mtls,throughput_mb_per_sec,Throughput MB/s,864,8.999602414973031,0.10293363508835081,13.120371798303937,-23.629893238434168,0.0,17.46161544908291,47.56341789052068
16384,mtls,throughput_records_per_sec,Throughput records/s,864,8.997457025293617,0.16421266157662834,13.121163670106572,-23.64891307070046,-0.012647078368268533,17.46341004734597,47.564669597218426
16384,tls,avg_latency_ms,Average latency ms,864,479.63484562059926,264.84509511270346,570.9907203674002,-20.869041144217896,112.56045006045004,531.0282273753594,3206.858106361609
