min_insync_replicas,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
4,tls,avg_latency_ms,Average latency ms,432,2009.1793994430554,540.53613625,2876.472351033402,6.75,161.40891117500001,2529.8851850250003,12619.2236373
3,mtls,max_latency_ms,Maximum latency ms,1296,10006.768518518518,9328.5,7397.530747131075,1052.0,1426.0,18427.75,26997.0
3,plaintext,max_latency_ms,Maximum latency ms,1296,5223.081018518518,4965.5,3831.727637184776,472.0,753.75,9453.5,14860.0
3,tls,max_latency_ms,Maximum latency ms,1296,9355.231481481482,8691.0,6949.634929491364,924.0,1362.75,16644.5,24947.0
4,mtls,max_latency_ms,Maximum latency ms,432,10499.63425925926,9957.0,7783.339111973373,1032.0,1519.5,19547.75,32187.0
4,plaintext,max_latency_ms,Maximum latency ms,432,5704.6712962962965,5242.5,4191.902839415773,560.0,831.25,10324.0,15492.0
4,tls,max_latency_ms,Maximum latency ms,432,10113.539351851852,9535.5,7468.702032440266,1063.0,1423.5,18722.25,25204.0
3,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,1296,1299.4667242430558,237.84504850000002,2554.9849094588535,49.253484,123.49859599999999,999.720078,9980.03992
3,plaintext,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,1296,1392.2025304830247,395.1652775,2634.200532936904,51.244365,125.99734675,999.740068,9976.057462
3,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,1296,1281.2251276311729,233.33252900000002,2531.4760234665946,45.522584,119.7027185,999.720078,9979.044008
4,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,432,1244.9867054791669,213.545385,2486.5903595772024,46.860941,117.111468,999.680102,9977.052779
4,plaintext,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,432,1336.7806488171295,346.1777995,2555.558720493326,50.812735,120.68050925,999.690096,9970.089731
4,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,432,1241.7722664282408,225.62886550000002,2483.3578222775495,45.687812,111.48610225,999.670109,9975.062344
3,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,1296,1307.26624975,263.660504,2553.0112784803264,50.869804,125.89795475,999.730073,9980.03992
3,plaintext,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,1296,1401.858808527006,410.45676100000003,2632.4385763839005,52.335732,127.83866,999.740068,9976.057462
3,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,1296,1289.4172063387346,258.1879635,2529.4450388431646,46.943834,122.908715,999.730073,9979.044008
4,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,432,1252.5747523125,232.8695355,2484.70766650641,48.559757,119.44515125,999.6826005,9977.052779
4,plaintext,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,432,1347.6951801018517,369.505863,2553.6022203446487,52.559219,122.0905075,999.690096,9970.089731
4,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,432,1249.491198337963,246.567337,2481.366281275437,47.351972,113.58376475,999.670109,9975.062344
3,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,1296,1561.1750462962962,409.53,2314.2543755557,6.28,129.3025,1832.5774999999999,11547.94
3,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,1296,464.1618904320988,42.97,1285.8671416909501,2.34,13.495,124.5,8699.74
3,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,1296,1606.146651234568,402.61,2408.378964234519,5.52,118.3625,1982.8425,11981.39
4,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,432,1766.5964120370368,485.01,2601.3854993117584,6.04,171.915,2204.24,11795.72
4,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,432,542.0666203703704,59.915,1467.3743676247684,4.11,17.2275,143.10250000000002,9049.27
4,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,432,1776.4388888888889,478.40999999999997,2600.265974463116,6.75,142.1825,1999.9225,11985.65
3,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,1296,1993.3005324074077,514.165,2838.115544057035,6.28,167.8425,2582.6825,12825.88
3,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,1296,565.3434413580246,58.625,1419.8812645786911,2.34,17.205,192.32,9192.76
3,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,1296,2013.700285493827,518.58,2909.3932088456177,5.52,133.565,2892.1475,13959.67
4,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,432,2229.3041898148144,631.39,3172.6841400980807,6.04,193.5375,2947.3650000000002,13905.85
4,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,432,669.5116898148148,85.75,1640.240051624718,4.11,21.9925,242.92,9582.54
4,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,432,2238.1428935185186,597.135,3156.412245992966,6.75,180.16,3050.6499999999996,13712.4
3,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,1296,6199.188935185181,4764.0,5951.184837212822,8.779999999999905,340.8975,9859.5,20872.45
3,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,1296,2313.1265702160435,417.27999999999986,3341.283432733355,4.01,41.075,4161.481249999975,12091.965
3,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,1296,6166.50677854938,4935.662499999999,5898.912669911266,7.389999999999932,344.93125,10083.523749999997,20172.654999999995
4,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,432,6857.4517361111075,5064.962499999998,6607.015881046256,8.299999999999908,387.6425,10454.078749999937,31667.5
4,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,432,2686.9068749999947,652.1974999999999,3711.5470555109987,4.969999999999996,55.48499999999993,5230.6875,12560.27
4,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,432,6917.507210648146,5634.092499999988,6399.521218996638,9.759999999999888,405.83,10955.571250000003,19714.9
3,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,1296,8746.074597222221,8670.39,7211.41553231915,40.86200000000001,383.47525,16970.295000000002,26126.86
3,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,1296,3874.9971396604933,1135.5304999999964,4188.18715296839,4.082,89.388,8974.87,12686.49
