trial_index,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1,tls,broker_memory_used_percent_mean,Broker memory %,8,23.954089875693352,23.96861894096775,0.10137884241326316,23.746366187134804,23.910196467921583,24.04883584227565,24.050308425505627
2,mtls,broker_memory_used_percent_mean,Broker memory %,8,22.472473493345177,22.552269427084934,0.6066576064303633,21.785265322274103,21.795366084354868,23.031939496337877,23.16142902955261
2,plaintext,broker_memory_used_percent_mean,Broker memory %,8,18.553711693643805,18.601362315543987,3.0028050024786497,14.559823528608195,15.939628276083461,21.382997370877447,22.155273674518856
2,tls,broker_memory_used_percent_mean,Broker memory %,8,23.989232786916304,24.033759812438003,0.12122449644550004,23.74155078490283,23.962303502971718,24.06002484920201,24.122119354197345
3,mtls,broker_memory_used_percent_mean,Broker memory %,8,22.406209025780548,22.474119163632913,0.5374001038457338,21.78586512619672,21.829632955545797,22.89538324840995,23.05185039456356
3,plaintext,broker_memory_used_percent_mean,Broker memory %,8,18.70688384416624,18.69392561250588,2.981182322945598,14.96197690778498,16.01860819262741,21.521617182025057,22.270680450615977
3,tls,broker_memory_used_percent_mean,Broker memory %,8,24.077391485178197,24.02799672379537,0.23951476801270077,23.857653481494182,23.986287306396907,24.049984278130637,24.676076615132807
1,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,8,5385348486.0,5381871090.5,5274198621.695019,111021625.0,111193726.75,10660131903.25,10664225304.0
1,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,8,5345871910.75,5345319794.0,5236739094.926575,108992943.0,109190016.0,10582180989.0,10583766663.0
1,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,8,6727067462.75,5388279266.0,7382364758.771287,110897453.0,111081798.5,10669178896.25,21365926820.0
2,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,8,5385705177.125,5384262470.0,5274487606.707466,111127130.0,111261084.5,10658826874.25,10663592464.0
2,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,8,5345983204.125,5345557745.0,5236855618.239006,108954388.0,109139957.5,10582554313.0,10583719181.0
2,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,8,5391313248.125,5389683979.0,5280276684.7270775,110954658.0,111024946.25,10670161385.25,10676308127.0
3,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,8,5386750406.875,5385933884.5,5275584657.843177,111026264.0,111208115.25,10661053341.75,10665821078.0
3,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,8,5346024982.25,5345595400.5,5236869533.674289,109004151.0,109192138.25,10582350530.25,10584119404.0
3,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,8,5389376423.625,5388192525.0,5278332095.557523,110921740.0,111097819.25,10665666437.25,10674175911.0
1,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,8,5262611135.0,5261186683.5,5149642147.739372,112864567.0,113017590.5,10412079831.75,10414945625.0
1,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,8,5234455020.875,5233463114.5,5125608190.135208,108715473.0,108882269.25,10360057743.5,10361906272.0
1,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,8,6517359919.375,5262264781.5,7103523436.1776905,112569720.0,112734052.0,10413611622.5,20448065942.0
2,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,8,5262880972.5,5261208236.0,5149915086.740518,112846605.0,113013255.0,10412306242.75,10415583222.0
2,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,8,5234099082.375,5232793042.0,5125269479.588944,108724719.0,108877131.0,10359356946.5,10361389698.0
2,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,8,5263182010.75,5262391017.5,5150491839.619937,112629183.0,112689846.0,10412789781.5,10415625858.0
3,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,8,5263035455.75,5261714419.5,5150073938.345514,112818263.0,113026508.0,10412189693.75,10416056961.0
3,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,8,5234464445.0,5234286586.5,5125615864.769289,108760512.0,108888451.0,10359842186.75,10360897924.0
3,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,8,5263077796.25,5262403922.5,5150398793.545682,112592716.0,112710259.5,10413400771.25,10415014898.0
1,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,8,3158669692.3749995,3158076059.0,3090112114.818134,68483507.6,68583493.0,6248343127.75,6250013815.6
1,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,8,3138380590.075,3137935019.5,3071692895.944476,66596940.4,66723703.75,6209844636.1,6211006951.8
1,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,8,3886395967.8,3157791560.7000003,4214020809.681158,68270299.8,68436555.44999999,6248286561.6,12073015522.2
2,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,8,3158678419.775,3158046823.4,3090100869.788592,68509010.6,68601021.2,6248280497.2,6250136676.0
2,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,8,3138160862.15,3137405773.2,3071458737.598072,66638223.0,66717990.85,6209604835.1,6210956454.4
2,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,8,3158955601.95,3157813793.7000003,3090534380.7200456,68369604.2,68425552.85,6248040422.9,6253654481.0
3,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,8,3158691873.125,3157684499.7,3090141959.564796,68466546.8,68588853.15,6248960604.8,6250145849.8
3,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,8,3138443556.6,3138219235.4,3071732122.135229,66648169.2,66738845.65,6210036450.85,6210796579.6
3,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,8,3158898442.55,3158111628.7000003,3090480650.5999327,68365299.2,68437651.1,6248371839.7,6252356933.8
1,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,8,3194388367.05,3193354626.6,3125384069.7724795,68925733.4,69034305.65,6319528200.5,6321469714.4
1,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,8,3169337338.9749994,3168930178.0,3101946281.0622196,67272970.8,67439712.95,6270926061.05,6272231491.0
1,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,8,3948534384.9750004,3194266292.8,4296644230.026913,68727665.8,68906826.1,6320385128.0,12350989435.2
2,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,8,3194440096.3250003,3193798358.1,3125395998.9081182,68973766.0,69066348.2,6319139445.599999,6321461359.6
2,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,8,3169205360.2500005,3168580657.5,3101794775.2095675,67335756.6,67416589.85,6270757041.5,6272228717.8
