benchmark_type,broker_count,partitions,replication_factor,min_insync_replicas,num_records,record_size_bytes,throughput_limit_records_per_sec,producer_count,consumer_count,batch_size,linger_ms,acks,compression_type,trial_index,comparison_mode,metric,metric_label,pct_change_vs_plaintext,penalty_pct_vs_plaintext,rank_type
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,1,tls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,2,tls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,3,tls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,1,tls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,3,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,1,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,2,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,3,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,1,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,2,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,3,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,1,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,1,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,2,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,lz4,3,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,1,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,2,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,3,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,1,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,2,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,3,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,1,mtls,data_consumed_mb,Data consumed MB,0.0,0.0,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,lz4,1,tls,rebalance_time_ms,Consumer rebalance time ms,262.1190130624093,262.1190130624093,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,1,tls,rebalance_time_ms,Consumer rebalance time ms,118.23899371069182,118.23899371069182,highest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,none,2,tls,rebalance_time_ms,Consumer rebalance time ms,88.61386138613861,88.61386138613861,highest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,lz4,2,tls,rebalance_time_ms,Consumer rebalance time ms,81.99052132701422,81.99052132701422,highest_penalty
consumer,5,6,3,3,100000,102400,,1,6,16384,5,all,none,1,tls,rebalance_time_ms,Consumer rebalance time ms,81.15015974440894,81.15015974440894,highest_penalty
consumer,5,6,3,3,100000,1024,,1,1,16384,5,all,none,2,tls,rebalance_time_ms,Consumer rebalance time ms,78.3132530120482,78.3132530120482,highest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,lz4,1,tls,rebalance_time_ms,Consumer rebalance time ms,77.66666666666666,77.66666666666666,highest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,none,3,tls,rebalance_time_ms,Consumer rebalance time ms,76.2360446570973,76.2360446570973,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,2,tls,rebalance_time_ms,Consumer rebalance time ms,76.09046849757674,76.09046849757674,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,3,tls,rebalance_time_ms,Consumer rebalance time ms,76.04166666666666,76.04166666666666,highest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,none,1,tls,rebalance_time_ms,Consumer rebalance time ms,43.724137931034484,43.724137931034484,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,3,tls,rebalance_time_ms,Consumer rebalance time ms,46.09929078014184,46.09929078014184,lowest_penalty
consumer,5,6,3,3,100000,1024,,1,6,16384,5,all,lz4,2,tls,rebalance_time_ms,Consumer rebalance time ms,56.676557863501486,56.676557863501486,lowest_penalty
consumer,5,6,3,3,100000,102400,,1,1,16384,5,all,none,1,tls,rebalance_time_ms,Consumer rebalance time ms,58.08823529411765,58.08823529411765,lowest_penalty
