replication_factor,comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,std_penalty_pct,min_penalty_pct,q25_penalty_pct,q75_penalty_pct,max_penalty_pct
5,mtls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,864,6.271882740699322,0.37728384369298007,27.081517103635722,-68.68170648338044,-2.940266476026704,6.123100151044803,237.80795594688388
5,mtls,broker_memory_used_percent_mean,Broker memory %,864,-1.0352229817461704,-0.7255400920168179,1.8591647940711247,-4.445095201161816,-2.87431015350835,0.687398829968709,4.061256899535344
5,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,1.8527047361673625,0.6665473639620394,4.336286775808973,-18.456986148750342,0.6282489049186135,1.449368812999948,101.64008590671949
5,mtls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,2.0273727650452193,0.6665675260969424,6.685658911924758,-18.45698614875034,0.6282958895580504,1.4509741966197258,151.52196158411314
5,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,1.9195814264882474,0.7938631043220548,4.428485167729413,-19.049349994277993,0.7475330078436162,1.4831319476035842,102.0298416613603
5,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,864,2.060120749414849,0.794259194422678,5.546434444233674,-18.435208167145294,0.7481657305480364,1.4835410790089816,102.37662501430502
5,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,711.0771996834673,315.1126717066826,1047.0849207611905,-57.293109408629114,87.29716925332782,943.6706890164052,10598.083832335224
5,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,558.98071688153,107.55472766385934,912.9719167338961,-60.625468099989845,83.97041025904717,599.5398014200136,5529.732892744049
5,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,191.98592570135796,105.51376985396176,198.72773868101734,-63.21829487126006,65.7137595645536,254.14603552486366,877.1890547263681
5,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,86.14038694471172,89.40798522371603,27.684067556962276,-44.49804554197429,74.97530201947065,101.86793626482229,268.7476013816044
5,mtls,max_latency_ms,Maximum latency ms,864,83.84420841751907,85.82524466143008,27.40133157188301,-45.2682563338301,71.48659448529827,98.6615923801003,249.7730711043873
5,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,778.7935714803352,496.23228886106494,832.1855639042374,-9.995743993894834,168.74707846951773,1114.1540294899173,5540.304729049878
5,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,957.3232250423578,588.9606286267671,1092.1740350837795,-9.995743993894834,184.00842741292334,1228.1785258472173,9135.841546626232
5,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,8.311593114385312,0.1414189010854992,13.973217444103472,-13.120045544930214,-0.0059982387053569,10.447608665337558,55.70087701314004
5,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,8.46228614784775,0.09143158060612407,13.816286143258969,-13.120045544930214,-0.026869788580378022,11.651298024174775,53.615550132760944
5,mtls,throughput_mb_per_sec,Throughput MB/s,864,8.400221871399035,0.030728259756223637,13.845511385049642,-13.118594436310408,0.0,11.24952835340727,53.99673735725937
5,mtls,throughput_records_per_sec,Throughput records/s,864,8.397381947931963,0.08034297551507863,13.848357221824699,-13.120045544930214,-0.016038901412903872,11.251284204509272,53.97574956233706
5,tls,avg_latency_ms,Average latency ms,864,865.6187353864594,526.1899340041755,947.5427764151598,-3.3883382089806444,180.98905510480057,1208.70137244922,4988.133067988069
5,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,863,-0.9049315211320456,0.5555057321594423,14.638991904788748,-44.165939478782924,-1.572890360121764,3.5942345417955384,224.55796287331933
5,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,15,-99.68253968253968,-100.0,1.1878277418330003,-100.0,-100.0,-100.0,-95.23809523809523
5,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,863,-0.8288672448921718,-9.213649851632047,67.16278875012804,-91.692498450093,-23.58312759386338,9.852337086476172,1229.6071984772452
5,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,863,8.440608808696688,6.965453196966033,10.492963231685318,-10.362943339704675,-1.0459674961975813,16.232288273554005,38.757858184937824
5,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,863,32.375661072224204,26.840255140191875,33.21886761018293,-9.97668680148799,18.206227076450855,37.290605190556484,215.73394457224836
5,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,863,2.198555141691169,0.5933707046246224,3.61224321795465,-20.636673150816872,0.46713152648495215,2.0168538440294594,17.273021017601746
5,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,864,-4.903553264391429,-5.1206192663345735,16.921073925941265,-55.47852705501035,-17.112811077448615,6.09419252665696,62.31633535004322
5,tls,broker_cpu_percent_mean,Broker CPU mean %,864,-19.392893932119005,-24.316643994044917,20.095529284650294,-55.074551638136796,-36.18181556065238,-0.20189909692835245,53.4314158635756
5,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,381,601.3765002904648,-51.56990334196727,8128.718409969976,-100.0,-91.86628530568466,-19.243198165328877,150500.0
5,tls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,381,601.3765002904648,-51.56990334196727,8128.718409969976,-100.0,-91.86628530568466,-19.243198165328888,150500.0
5,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,6.107246543280974,0.19461971561603086,25.001605186092533,-77.53746096853463,-2.4775710007038474,4.898318935105704,159.39563269702032
5,tls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,864,6.288092900461485,0.19461971561603786,25.54610410121549,-77.53746096853463,-2.4775710007038487,5.172461448942907,160.41875433993488
5,tls,broker_memory_used_percent_mean,Broker memory %,864,0.25300932777218366,0.16730724837947153,1.3033610160530278,-2.993520542086117,-0.8117871795349056,1.4011478516062024,4.296827696328489
5,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,864,1.6246269500336108,0.6526937281024899,2.271350683764145,-18.42776514719073,0.6107304670158609,1.5121539564329374,12.555464093584071
5,tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,864,1.7992374300241698,0.652948003198659,5.577145855034362,-18.427765147190737,0.6111110958917156,1.5124676902432985,151.43909118640508
5,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,864,1.6836174482830795,0.7819301262599279,2.3502833899971343,-19.063767502875233,0.7367803730169794,1.5586002932458294,13.336442684732456
