producer_count,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
12,tls,max_latency_ms,Maximum latency ms,576,18383.003472222223,18340.0,1827.248890253429,14299.0,17078.25,19607.5,25204.0
1,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,576,3379.8855104722224,1009.3608979999999,3549.874053187047,928.668939,999.650122,6158.3387155,9980.03992
1,plaintext,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,576,3488.6444769322916,999.805038,3672.913630108843,945.420854,999.650122,7100.7598885,9976.057462
1,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,576,3340.862485720486,999.780048,3531.837609003515,993.581464,999.650122,6241.5282675,9979.044008
6,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,576,353.2481255260417,165.923301,336.0409151724953,111.631303,144.23205475,447.36667475,1179.12982
6,plaintext,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,576,468.24765840277786,165.928256,518.6095665475001,113.448095,151.50144799999998,677.5144995,1630.72407
6,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,576,348.5700844548611,165.926604,335.4585201546212,108.069379,138.6232005,475.73265649999996,1241.767248
12,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,576,124.40652265798612,82.769649,93.21900794725799,46.860941,60.0990355,148.36976475,364.966061
12,plaintext,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,576,178.14904486458332,82.713782,176.93008041328466,50.812735,66.8404595,252.42910125,672.721401
12,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,576,124.65316681597223,82.7273315,96.34255733032863,45.522584,57.63474225,157.224324,400.682791
1,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,576,3379.8855104722224,1009.3608979999999,3549.874053187047,928.668939,999.650122,6158.3387155,9980.03992
1,plaintext,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,576,3488.6444769322916,999.805038,3672.913630108843,945.420854,999.650122,7100.7598885,9976.057462
1,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,576,3340.862485720486,999.780048,3531.837609003515,993.581464,999.650122,6241.5282675,9979.044008
6,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,576,369.97985575520835,166.94546,357.9602345864361,112.775748,147.54478125,468.80252925,1241.95231
6,plaintext,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,576,484.57832402951385,166.952149,541.9230527776635,114.184907,153.54957525,707.962934,1663.373253
6,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,576,366.11292880555555,166.948805,358.0079632887835,110.836243,141.20051225,494.36307875,1277.45842
12,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,576,130.91475994444443,83.7811075,99.85889612425585,48.559757,63.064411750000005,155.46823325000003,382.950368
12,plaintext,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,576,191.73090330034722,83.835468,200.7482024592041,52.335732,68.679692,259.164791,777.622247
12,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,576,131.33169848958335,83.772265,103.2464348732595,46.943834,60.58652,169.3603545,414.597741
1,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,576,111.74083333333334,26.32,150.1600814882885,6.04,13.5475,183.17000000000002,869.06
1,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,576,47.75826388888889,7.869999999999999,126.6500354930416,2.34,5.42,19.595,704.18
1,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,576,114.01628472222222,30.475,154.32370669023402,5.52,13.5625,172.565,803.11
6,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,576,1448.2883854166666,385.345,1655.8949836602285,88.59,220.2425,2912.9075000000003,5455.84
6,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,576,442.47911458333334,39.14,923.6672425570806,10.75,23.1525,155.79,4024.15
6,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,576,1497.3799479166669,404.93499999999995,1721.763214282706,70.92,238.5325,2968.06,5532.55
12,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,576,3277.5619444444446,1513.92,3055.064668934337,350.07,833.81,5472.13,11795.72
12,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,576,960.676840277778,95.66,2012.4920062231895,24.59,61.885,457.8075,9049.27
12,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,576,3334.7628993055555,1450.24,3150.9928571286537,304.97,888.3025,5650.0525,11985.65
1,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,576,111.74083333333334,26.32,150.1600814882885,6.04,13.5475,183.17000000000002,869.06
1,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,576,47.75826388888889,7.869999999999999,126.6500354930416,2.34,5.42,19.595,704.18
1,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,576,114.01628472222222,30.475,154.32370669023402,5.52,13.5625,172.565,803.11
6,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,576,1786.7575520833334,504.605,1951.5468252743203,149.84,315.40500000000003,3729.255,6450.24
6,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,576,528.6032986111111,51.715,1017.8269280911429,13.89,32.6025,272.4,4232.82
6,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,576,1831.3998263888889,512.165,2008.8553999433525,100.63,333.32000000000005,3772.8450000000003,6752.54
12,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,576,4258.405954861111,1983.81,3629.0534423599556,587.46,1251.7625,7469.8150000000005,13905.85
