replication_factor,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
5,plaintext,avg_latency_ms,Average latency ms,864,588.7350614296296,70.8063745,1517.1074763603579,3.6,19.38,183.089007025,9280.0909335
5,tls,avg_latency_ms,Average latency ms,864,1979.397786571065,526.1835002,2853.6395691657126,5.88,145.42398165,2563.3165465499997,12935.0616501
3,mtls,max_latency_ms,Maximum latency ms,864,9990.795138888889,9283.5,7413.324324186702,1052.0,1416.25,18384.0,26997.0
3,plaintext,max_latency_ms,Maximum latency ms,864,5065.28587962963,4890.0,3713.1507735500627,472.0,728.75,8394.25,13843.0
3,tls,max_latency_ms,Maximum latency ms,864,9100.769675925925,8481.0,6733.9285598060205,924.0,1291.25,16453.25,23396.0
5,mtls,max_latency_ms,Maximum latency ms,864,10269.174768518518,9623.5,7580.919745837941,1032.0,1490.0,18959.25,32187.0
5,plaintext,max_latency_ms,Maximum latency ms,864,5621.6712962962965,5195.0,4117.515288522089,554.0,827.5,10139.5,15492.0
5,tls,max_latency_ms,Maximum latency ms,864,9988.847222222223,9470.0,7403.539380030267,986.0,1430.25,18388.75,25204.0
3,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,1306.1969748969907,242.20194700000002,2559.5964296479974,49.541034,124.358836,999.720078,9980.03992
3,plaintext,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,1413.6594472337963,399.9308975,2663.7163978817216,53.242604,138.68261725,999.760058,9976.057462
3,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,1299.3917132997685,233.33252900000002,2553.668872684671,48.683165,123.34335625,999.730073,9979.044008
5,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,1265.4964642071761,221.7006465,2516.393951317947,46.860941,118.891762,999.680102,9978.048294
5,plaintext,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,1343.0346728993054,349.29436350000003,2564.6114179688593,50.812735,121.1380695,999.710084,9974.067425
5,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,1243.332111361111,225.62886550000002,2484.7287518169796,45.522584,111.14093475,999.680102,9976.057462
