throughput_limit_records_per_sec,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1000,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,7379.558854166661,6729.774999999992,6404.363493127201,111.099999999998,359.0249999999978,14262.699999999997,19875.6
10000,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,9139.188657407407,8977.724999999999,6841.362248083839,541.5,1407.9874999999997,15233.0625,31667.5
10000,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,4099.899074074073,2523.7999999999997,3769.614988045226,239.5,784.5625,5897.1625,14061.25
10000,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,8804.923032407407,8396.874999999998,6585.0301775908365,415.75,1333.8749999999995,15300.725000000002,22227.049999999996
1000,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,9489.690694444444,8907.96,7110.773812307059,851.6400000000003,1211.7250000000004,17473.815000000002,21403.879999999997
1000,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,4867.577337962964,4676.3499999999985,3597.861666777631,428.4400000000001,638.9600000000002,9108.172499999997,11447.12
1000,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,8984.188888888888,8510.56,6764.463081438956,762.9000000000002,1145.9750000000004,16158.514999999996,21695.62
10000,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,10097.69699074074,9390.009999999998,7429.079373198181,1075.4999999999995,1472.4524999999999,18549.8175,32155.5
10000,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,5350.596874999999,4999.920000000001,3930.407505862612,471.16,894.905,9533.0175,15122.85
10000,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,9557.384814814815,9008.16,7054.309660625067,957.5499999999996,1401.0475,17136.3575,23625.090000000004
1000,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,70.10108529103393,80.82145593317972,29.3629030089672,12.01436507936508,55.04077981651378,94.72296092796093,97.38142076502731
