security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
tls,broker_network_rx_bytes_delta_total,Broker network RX bytes total,1727,15420062329.878403,5204651532.0,19468186685.926903,314480664.0,567318491.5,31224436042.0,52098200085.0
mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,1728,11636224076.44676,3215509400.5,15244276870.69974,211416566.0,459545525.0,20949244639.75,83894667673.0
plaintext,broker_network_tx_bytes_delta_total,Broker network TX bytes total,1726,11519724877.069525,3184402782.0,15064990671.931494,209739340.0,447418833.25,20780506316.0,41583253556.0
tls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,1727,11624958870.287203,4182656735.0,15183056695.234442,211299260.0,466060692.5,20946742322.5,41862902474.0
mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,1728,146.78703703703704,0.0,5930.506187487874,0.0,0.0,0.0,246584.0
plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,1727,106.18702953097858,0.0,2621.00329324954,0.0,0.0,0.0,102536.0
tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,1728,126.05555555555556,0.0,3164.321470281417,0.0,0.0,0.0,110904.0
mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,1728,49353.11574074074,47588.0,36115.43900256115,6152.0,35146.0,58994.0,887600.0
plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,1727,44261.795020266356,43456.0,24318.721136951062,6176.0,32504.0,53648.0,462888.0
tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,1728,44478.13888888889,41204.0,60143.38026271183,6208.0,30640.0,53074.0,2127912.0
mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,1728,6510.0915895061735,0.0,22205.320868715786,0.0,0.0,8343.333333333332,310771.2
plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,1726,8108.533024333719,0.0,23585.059049091622,0.0,0.0,12712.0,394941.3333333333
tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,1727,7239.334800231616,0.0,29208.45093481845,0.0,0.0,8129.333333333334,449915.2
mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,1728,6463730.366049383,1733314.1333333333,8177421.449404698,15073.6,257185.2,13094371.733333332,41124512.0
plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,1726,6421374.66450367,1714840.2666666666,8118564.815322109,16656.0,264568.6666666667,13969469.6,20611715.2
tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,1727,6422381.575139934,1721609.6,8106369.404259995,17988.8,258108.2666666667,13934968.266666666,20574584.0
mtls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,1728,29145.84375,0.0,102884.53639319411,0.0,0.0,39484.0,1553856.0
plaintext,broker_disk_read_sectors_delta_total,Broker disk read sectors total,1726,36579.01274623407,0.0,109850.67901680402,0.0,0.0,62840.0,1437752.0
tls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,1727,33053.06311522872,0.0,142167.5799061306,0.0,0.0,30744.0,2249576.0
mtls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,1728,28675838.009259257,6382060.0,36960054.0820499,75368.0,1050584.0,59219594.0,205622560.0
plaintext,broker_disk_write_sectors_delta_total,Broker disk write sectors total,1726,28465615.37427578,6133380.0,36629373.57279615,83280.0,1209892.0,58944492.0,103058576.0
tls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,1727,28465206.69368848,6430672.0,36559303.805238895,89944.0,1138400.0,58435600.0,100598496.0
