consumer_count,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,9.052976503298149,8.782067204301075,0.9990433235920232,7.956928838951311,8.094243548387096,10.111317939456484,10.355723684210526
1,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,11.061411451641769,10.994187499999999,0.6500061458150875,10.290393700787403,10.462417355371901,11.619611942488262,11.997676056338028
1,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,11.220141567396047,11.129454353380503,0.8712939260615125,10.27464566929134,10.395281550480767,11.954584512578617,12.441288343558282
6,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,9.091028110398055,9.010835483870968,1.0069365283601264,7.90144,8.108342184631525,10.096151315789474,10.37125
6,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,10.989089421217974,10.87309525152267,0.5961144687848099,10.345241935483871,10.436866666666667,11.541979166666668,12.050748299319729
6,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,11.33052774024805,10.46046875,1.7776180718189643,9.36668150346192,10.259830524114172,12.04420382165605,16.392093457943925
1,mtls,broker_memory_used_percent_mean,Broker memory %,12,22.391163224688793,22.324625940946582,0.6216178053746484,21.747308618559785,21.7877910330388,22.940630809374014,23.384032624474436
1,plaintext,broker_memory_used_percent_mean,Broker memory %,12,17.907997332726463,17.50356373526912,3.03513187795807,13.78147659364008,15.187523841712487,21.07620077379386,21.409138150790113
1,tls,broker_memory_used_percent_mean,Broker memory %,12,23.94509251585957,23.972371329865844,0.1006108075028161,23.74155078490283,23.868534261439656,24.033703328189784,24.050308425505627
6,mtls,broker_memory_used_percent_mean,Broker memory %,12,22.478185197049157,22.548845789346707,0.5826219183752939,21.77804228014937,21.832665086661997,23.02175718229062,23.16142902955261
6,plaintext,broker_memory_used_percent_mean,Broker memory %,12,19.027532372255198,18.947212843243925,2.9052145088326027,15.702551701435096,16.19676889807756,21.910547558314178,22.270680450615977
6,tls,broker_memory_used_percent_mean,Broker memory %,12,24.068716915999,24.03898076679786,0.20617858808179684,23.746366187134804,24.013092991598597,24.089226687902674,24.676076615132807
1,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,5385187918.5,5381889782.5,5274000723.80234,111078888.0,111205602.5,10660577100.25,10662279794.0
1,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,5345958236.0,5345521463.5,5236826827.091712,108992943.0,109139957.5,10582531753.5,10583695356.0
1,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,5389503407.333333,5388279266.0,5278430233.708686,110936063.0,111126605.0,10666421597.0,10673208350.0
6,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,5386681461.5,5384489669.5,5275513120.899331,111021625.0,111223296.5,10662645926.5,10665821078.0
6,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,5345961828.75,5345357295.5,5236816005.578822,108954388.0,109192138.25,10582356486.5,10584119404.0
6,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,6282334682.333333,5388183181.5,6784395909.1031065,110897453.0,111024946.25,10672881713.25,21365926820.0
1,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,5262586640.75,5261188594.0,5149620251.342995,112846605.0,113012014.25,10411771669.5,10415583222.0
1,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,5234369184.75,5232808951.0,5125518009.275275,108724719.0,108891853.5,10360108412.0,10361389698.0
1,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,5263132368.25,5262400689.0,5150449290.284041,112608504.0,112693056.25,10413172391.0,10415625858.0
6,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,5263098401.416667,5261716255.5,5150133850.499538,112818263.0,113019190.5,10412528179.0,10416056961.0
6,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,5234309847.416667,5233451407.0,5125477690.867469,108715473.0,108870277.0,10359674408.5,10361906272.0
6,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,6099280782.666667,5262278040.0,6544610902.222746,112569720.0,112731730.5,10413784545.5,20448065942.0
1,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,3158688638.0,3158052133.9,3090119215.1178455,68489398.2,68601021.2,6248953362.400001,6249742069.4
1,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,3138339239.7000003,3137397312.0,3071646833.0353327,66596940.4,66718410.3,6210110033.05,6210956454.4
1,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,3158515487.883333,3157985549.8,3090114658.84893,68270299.8,68425552.85,6248215420.9,6249677772.2
6,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,3158671352.183333,3157688199.1,3090117414.429619,68466546.8,68587401.95,6248417699.05,6250145849.8
6,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,3138317432.8500004,3137944002.0,3071609013.4514003,66637084.6,66729224.05,6209756277.8,6211006951.8
6,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,3644317853.65,3157801964.2000003,3891275396.134551,68343738.0,68437444.7,6249117657.25,12073015522.2
1,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,12,3194394787.7999997,3193354626.6,3125366857.40877,68943389.8,69066348.2,6320275111.5,6320929935.2
1,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,12,3169323546.2333336,3168568504.8,3101928077.8055735,67272970.8,67416589.85,6271237940.9,6272228717.8
1,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,12,3194847852.283333,3194268043.9,3125973737.815433,68727665.8,68905806.25,6320254207.7,6322648520.0
6,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,12,3194566705.633333,3193775261.2,3125561669.547305,68916588.6,69040645.75,6319661056.6,6321718698.4
6,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,12,3169331469.2666664,3168952102.3999996,3101910403.8464065,67335756.6,67445481.94999999,6271026362.9,6272231491.0
6,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,12,3697716807.4499993,3194287749.4,3961430764.8383656,68805661.6,68911761.15,6320960751.9,12350989435.2
1,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,12,1.3333333333333333,0.0,4.422166387140533,0.0,0.0,0.0,16.0
6,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,40589.333333333336,40336.0,10433.952952846885,27496.0,32476.0,45604.0,64640.0
1,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,32792.0,32208.0,7394.498134874784,20424.0,27786.0,38348.0,46272.0
1,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,30432.0,28948.0,4006.562616508071,27368.0,28556.0,30856.0,42976.0
6,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,36806.666666666664,35204.0,8204.960342513681,27304.0,28658.0,43658.0,49424.0
6,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,29973.333333333332,30052.0,3426.423337664056,25000.0,27926.0,31110.0,38264.0
6,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,12,37111.333333333336,34432.0,11866.878705970757,25408.0,27602.0,40026.0,64920.0
1,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,12,60875.73333333334,7335.2,124575.50451880801,0.0,32.400000000000006,38654.8,450251.2
1,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,12,69190.8,12463.2,191924.08095049806,3.2,72.4,24914.4,704526.4
1,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,12,12091.066666666666,12706.400000000001,11544.294021819707,0.0,248.8,23023.2,26278.4
6,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,12,9370.8,7436.0,9607.540019519392,0.0,0.0,18373.2,24587.2
6,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,12,24828.66666666667,8824.8,40427.02190938905,0.0,0.0,22305.2,139705.6
6,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,12,146905.86666666667,11033.6,343638.16195113654,0.0,6.0,27278.4,1213780.8
1,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,6130436.0,6048641.6,5954902.351521865,164228.8,173251.6,12090135.2,12248601.6
1,plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,6109942.0,6046850.399999999,5946059.826414813,162211.2,164100.0,12081504.0,12083216.0
1,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,6121664.933333334,6121782.4,5957198.836766384,162507.2,164244.4,12079154.4,12081547.2
6,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,6118616.800000001,6068165.6,5940335.278169074,160848.0,171960.8,12087274.4,12091417.6
6,plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,6124879.733333334,6124217.6,5958801.466874809,162155.2,166488.0,12083259.2,12086236.8
6,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,12,7123788.800000001,6020534.4,7652054.666672126,162905.6,165152.0,12077138.4,24146040.0
