broker_count,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
5,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,24,50.209925500383356,48.352020076323214,21.53466632193916,27.66564516129032,28.997443343233467,70.66027533255087,76.96868055555555
5,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,24,48.04298962676368,28.6025,23.47145907076405,22.441557863501483,27.1437109375,68.44076433121019,91.9978878504673
5,mtls,broker_cpu_percent_mean,Broker CPU mean %,24,15.14434169873104,15.079794851683682,9.350134222138491,5.396487555738741,5.839292264304235,24.457649909419384,24.878199610213965
5,plaintext,broker_cpu_percent_mean,Broker CPU mean %,24,25.395204581910587,27.775163953078142,7.4573560343315926,16.801545531762603,17.461324773505126,32.7918396847201,33.49067340177673
5,tls,broker_cpu_percent_mean,Broker CPU mean %,24,22.34248926321105,14.638324418973006,10.390868529964875,12.287528931923646,12.600528292663473,32.707973727206536,38.62908539018291
5,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,24,43.25341666666666,38.117,18.908543188015717,20.228,25.41,61.829499999999996,73.412
5,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,24,53.041,55.925,13.366417370908831,34.64,38.828500000000005,65.787,70.726
5,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,24,49.056000000000004,54.495,16.041571660324728,29.421999999999997,32.5565,64.2705,70.15
5,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,24,9.072002306848102,8.827268817204303,1.0031781240042026,7.90144,8.094243548387096,10.111317939456484,10.37125
5,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,24,11.025250436429872,10.921042832167831,0.6246901982320082,10.290393700787403,10.436866666666667,11.544947916666667,12.050748299319729
5,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,24,11.275334653822048,10.476796875000002,1.4009232078218123,9.36668150346192,10.306957932692306,12.04420382165605,16.392093457943925
5,mtls,broker_memory_used_percent_mean,Broker memory %,24,22.434674210868973,22.498203217275893,0.6040047216565636,21.747308618559785,21.791622161890736,22.9679445620731,23.384032624474436
5,plaintext,broker_memory_used_percent_mean,Broker memory %,24,18.46776485249083,17.869482436071763,3.0231586305795344,13.78147659364008,15.67999833353656,21.444416126852985,22.270680450615977
5,tls,broker_memory_used_percent_mean,Broker memory %,24,24.00690471592928,24.02799672379537,0.1735995981053647,23.74155078490283,23.910196467921583,24.05015630598138,24.676076615132807
5,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,24,5385934690.0,5381889782.5,5274757029.41775,111021625.0,111208723.25,10660962558.25,10665821078.0
5,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,24,5345960032.375,5345357295.5,5236821416.33837,108954388.0,109139957.5,10582531753.5,10584119404.0
5,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,24,5835919044.833333,5388211092.0,6094605295.931557,110897453.0,111028876.25,10668500367.25,21365926820.0
5,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,24,5262842521.083333,5261190430.0,5149877063.680869,112818263.0,113013255.0,10412079831.75,10416056961.0
5,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,24,5234339516.083333,5232808951.0,5125497850.196884,108715473.0,108882269.25,10359946332.5,10361906272.0
5,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,24,5681206575.458333,5262278040.0,5903754391.857183,112569720.0,112693056.25,10413400771.25,20448065942.0
5,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,24,3158679995.0916667,3157693509.6,3090118314.7859507,68466546.8,68599124.45,6248953362.400001,6250145849.8
5,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,24,3138328336.275,3137405773.2,3071627923.3209257,66596940.4,66721159.45,6209971644.8,6211006951.8
5,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,24,3401416670.766667,3157801964.2000003,3521990543.9032197,68270299.8,68425552.85,6248371839.7,12073015522.2
5,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,24,3194480746.716667,3193356865.0,3125464266.177937,68916588.6,69058218.35,6320275111.5,6321718698.4
5,plaintext,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,24,3169327507.75,3168580657.5,3101919240.8411074,67272970.8,67419876.19999999,6271176801.65,6272231491.0
5,tls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,24,3446282329.8666663,3194268043.9,3577085692.7920303,68727665.8,68905806.25,6320646539.9,12350989435.2
