record_size_bytes,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
102400,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,12.196809565915595,12.081528662420382,1.489397720110096,9.36668150346192,11.838382506109042,12.322030946649061,16.392093457943925
1024,mtls,broker_memory_used_percent_mean,Broker memory %,12,21.845588040817546,21.79055910858921,0.1251337417796739,21.747308618559785,21.784829487538957,21.814097521992043,22.144831664469727
1024,plaintext,broker_memory_used_percent_mean,Broker memory %,12,15.538018981129722,15.657444965638025,0.7549142881310795,13.78147659364008,15.187523841712487,16.168277308396675,16.34417563144624
1024,tls,broker_memory_used_percent_mean,Broker memory %,12,24.03336030787338,24.033372465294452,0.01451591563513435,24.001898262283454,24.025915714361876,24.04883584227565,24.05142217638688
102400,mtls,broker_memory_used_percent_mean,Broker memory %,12,23.023760380920404,22.97618193444606,0.1412087913104047,22.85157477008206,22.94821293965076,23.076334782866564,23.384032624474436
102400,plaintext,broker_memory_used_percent_mean,Broker memory %,12,21.39751072385194,21.47969410291586,0.7363822970140228,19.394789240697285,21.14125113425054,21.910547558314178,22.270680450615977
102400,tls,broker_memory_used_percent_mean,Broker memory %,12,23.980449123985185,23.900144160810576,0.24220473246354346,23.74155078490283,23.854119917379762,24.089226687902674,24.676076615132807
1024,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,111178230.41666667,111185686.5,106283.674544791,111021625.0,111079442.25,111277995.0,111307519.0
1024,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,109138664.66666667,109110318.0,132761.23767961122,108954388.0,109028851.5,109245861.0,109335468.0
1024,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,111045491.25,111021119.5,105647.10153550908,110897453.0,110950009.25,111155538.0,111207559.0
102400,mtls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,10660691149.583334,10661297465.5,3465783.537144101,10652472046.0,10659059058.5,10662645926.5,10665821078.0
102400,plaintext,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,10582781400.083334,10582882850.0,1000520.7299803486,10581379123.0,10581840639.25,10583701312.25,10584119404.0
102400,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,12,11560792598.416666,10668799714.5,2956361447.150353,10665214625.0,10665774449.75,10673450240.25,21365926820.0
1024,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,112965723.33333333,112966143.0,111030.63458143233,112818263.0,112865281.0,113078722.25,113085892.0
1024,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,108841759.0,108860052.5,88679.44751744905,108715473.0,108759566.25,108922415.75,108952133.0
1024,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,112685017.16666667,112676410.5,77055.11888450732,112569720.0,112624013.25,112764659.25,112792065.0
102400,mtls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,10412719318.833334,10412385860.5,2337887.3338819826,10409294968.0,10411108844.75,10414829886.5,10416056961.0
102400,plaintext,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,10359837273.166666,10359963222.0,1378821.654689421,10356665769.0,10359477965.75,10360556464.75,10361906272.0
102400,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,12,11249728133.75,10413427114.5,2773403530.4099493,10411764015.0,10412039289.75,10415088418.25,20448065942.0
1024,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,68561796.14999999,68584716.5,65584.15196052335,68466546.8,68492380.65,68622070.1,68640285.8
1024,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,66700468.98333333,66700494.9,64974.06852016474,66596940.4,66644424.3,66764623.65,66782328.0
1024,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,68409730.4,68410365.5,66485.01462615361,68270299.8,68368527.95,68469601.35,68496728.6
102400,mtls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,6248798194.033333,6249206608.200001,1194817.5017215128,6246746733.4,6247730180.3,6249810005.95,6250145849.8
102400,plaintext,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,12,6209956203.566667,6209990718.8,827153.2573176577,6208029218.4,6209564903.95,6210635959.75,6211006951.8
