record_size_bytes,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
102400,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,576,63.27725694444444,46.7,57.45700002480678,2.34,18.252499999999998,96.57499999999999,311.23
102400,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,576,666.3927256944444,378.005,656.8365861838763,7.69,101.7175,1342.3175,2184.3
1024,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,576,6026.356171874995,3427.5099999999984,6639.214018966509,8.299999999999908,418.82500000000005,9524.25,21468.6
1024,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,576,3187.445364583324,364.3125,3891.7121048195295,4.379999999999996,27.6625,5882.368750000001,11489.7
1024,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,576,5915.591345486105,3170.7924999999677,6425.428250865192,7.389999999999932,431.05,9277.025,19714.9
10240,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,576,7522.855824652775,7496.447499999999,6684.955241557619,20.79999999999965,530.2774999999999,12930.848750000001,31667.5
10240,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,576,3496.7049999999927,1649.9124999999988,3838.7276568424895,4.01,32.11875,6616.389999999963,12560.27
10240,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,576,7500.0230555555545,7551.397499999997,6572.155308650533,17.80999999999972,530.4875,14161.324999999997,20172.654999999995
102400,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,576,5542.051909722221,4951.66,4665.859525400554,21.030000000000136,231.92,10284.72125,14596.875
102400,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,576,535.5645746527771,349.69749999999965,591.2635743964839,5.759999999999988,54.56875,776.0574999999999,4346.77499999987
102400,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,576,5647.156258680556,5027.442499999999,4779.302916872099,23.14999999999964,251.3374999999997,10496.67625,14389.775
1024,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,576,8770.790024305557,8594.49,7270.037605363757,39.26000000000001,422.35,16578.45,21675.26
1024,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,576,4184.105078125,1793.1505,4432.362613030144,5.676,47.946,9367.675,12332.37
1024,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,576,8398.871019097223,8205.36,6859.874179633018,30.35800000000001,431.124,15698.680000000002,20651.47
10240,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,576,9312.817194444444,8993.32,7552.971685867835,139.60000000000005,549.4685,17933.315000000002,32155.5
10240,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,576,4342.408970486111,3369.8085,4302.9485586659,4.082,158.8284999999999,9093.667500000001,13154.794999999998
10240,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,576,8967.287381944443,8728.810000000001,7202.017968348058,109.58600000000004,566.865,16761.6675,21524.352000000003
102400,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,576,8757.903789930555,8671.3,7273.059908359775,126.50800000000004,334.48749999999995,17254.804999999997,26126.86
102400,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,576,3579.9051927083324,1193.5139999999992,3990.9299359616407,7.114999999999999,121.73400000000002,8089.914999999995,10540.2
