compression_type,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
none,plaintext,avg_latency_ms,Average latency ms,864,509.2415912415509,65.5141419,1288.376763789284,3.35,16.88625135,177.698404725,7915.349547100001
none,tls,avg_latency_ms,Average latency ms,864,1844.2059627442131,475.68604185000004,2650.670265344841,5.52,130.32756565,2529.2824934499995,11389.2439879
lz4,mtls,max_latency_ms,Maximum latency ms,864,10155.172453703704,9448.0,7515.886118263995,1058.0,1479.0,18550.25,32187.0
lz4,plaintext,max_latency_ms,Maximum latency ms,864,5400.175925925926,5146.0,3962.6509439732754,508.0,781.25,9820.75,14379.0
lz4,tls,max_latency_ms,Maximum latency ms,864,9612.820601851852,9031.0,7125.482073781993,973.0,1406.75,17267.0,23951.0
none,mtls,max_latency_ms,Maximum latency ms,864,10104.797453703704,9424.0,7481.754899385855,1032.0,1436.75,18538.75,26997.0
none,plaintext,max_latency_ms,Maximum latency ms,864,5286.78125,4964.5,3897.072170775359,472.0,757.0,9607.0,15492.0
none,tls,max_latency_ms,Maximum latency ms,864,9476.796296296296,8922.5,7054.841172890323,924.0,1374.5,16888.25,25204.0
lz4,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,1250.1025720578705,218.120417,2482.404996219442,46.860941,118.891762,999.70009,9978.048294
lz4,plaintext,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,1325.1307948668982,352.9442245,2527.5254947648236,50.812735,120.68748925,999.730073,9976.057462
lz4,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,1236.0643733912036,230.0248295,2465.2994252220665,45.522584,111.14093475,999.690096,9979.044008
none,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,1321.5908670462964,230.18518,2592.240500660791,55.677308,138.67279825,999.720078,9980.03992
none,plaintext,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,1431.563325266204,415.253325,2698.344239426347,62.493907,146.231734,999.740068,9976.057462
none,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,1306.6594512696759,236.855549,2572.2519185333963,54.044239,131.505543,999.720078,9975.062344
lz4,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,1257.1276821215276,237.65423400000003,2480.7201562085925,48.559757,120.94678525,999.7025885,9978.048294
lz4,plaintext,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,1334.997199502315,364.12330199999997,2525.865477827813,52.335732,122.32324,999.730073,9976.057462
lz4,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,1243.5057094502315,249.2265775,2463.5070459591275,46.943834,113.42416424999999,999.710084,9979.044008
none,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,1330.059068659722,263.6132515,2590.014608846483,58.723638,142.09172875000002,999.730073,9980.03992
none,plaintext,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,1441.6386033391204,445.20441700000003,2696.3788620905643,64.647248,148.9755395,999.740068,9976.057462
none,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,1315.3656992268516,265.12732300000005,2569.9954290728333,56.19925,135.12922375,999.720078,9975.062344
lz4,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,1622.5193402777777,422.72,2462.4234534950247,6.04,133.3225,1907.1425,11664.31
