broker_count,comparison_mode,metric,metric_label,count,mean_penalty_pct,median_penalty_pct,std_penalty_pct,min_penalty_pct,q25_penalty_pct,q75_penalty_pct,max_penalty_pct
3,mtls,broker_network_tx_bytes_delta_mean,Broker network TX bytes mean,430,2.25511932963071,0.8382536962350997,3.226143651289824,-0.4353950053867189,0.765456842704311,1.6671434331862913,21.962632267418904
3,mtls,broker_network_tx_bytes_delta_total,Broker network TX bytes total,430,2.2551193296307104,0.8382536962350996,3.2261436512898243,-0.4353950053867189,0.7654568427043157,1.6671434331862927,21.962632267418922
3,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,432,1454.240018874025,279.33713345819706,2349.682733512212,-58.78039603271405,93.90300901088028,1988.0374897227668,11277.394136807818
3,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,432,1021.4468093476845,176.06751126808274,1549.7043300099244,-82.16071658411711,90.18732129691804,1449.9060059016251,10788.682018618325
3,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,432,251.53088069886806,112.59124701472356,383.73953266552587,-71.89466523045523,76.83810642975823,232.7224395267372,3041.7113402061814
3,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,432,107.5078425906331,104.55634157061903,49.13700629354479,-72.18178509689747,76.89642537198432,146.30312715188202,227.93956259308618
3,mtls,max_latency_ms,Maximum latency ms,432,111.41512981693037,107.72779638407681,51.301112032370824,-72.24409448818898,79.76194073382568,154.00312223861636,227.96116504854368
3,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,432,1259.7435236786273,634.054231963109,1549.493556209655,-21.76277763894809,161.78568550940884,1989.8514054275936,8594.298139647259
3,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,432,1249.5777824331433,658.6463814535193,1496.2725504857488,-21.76277763894809,174.25210607329856,1813.2373248186113,7354.390855868413
3,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,432,13.388722134790614,11.223168090331097,15.146283425013985,-23.64891307070046,0.00874702626054142,22.712957959912774,50.54204133709823
3,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,432,13.963447089741825,11.460752854986275,15.62990113408448,-23.64891307070046,0.0009998073812073913,24.951997933184778,52.918581719109184
3,mtls,throughput_mb_per_sec,Throughput MB/s,432,13.775439801510036,11.385920024738443,15.473738087191059,-23.629893238434168,0.0,24.56585418357558,51.69290489540652
3,mtls,throughput_records_per_sec,Throughput records/s,432,13.78011023397679,11.386404771569648,15.468161692448593,-23.64891307070046,0.0031560292517270696,24.541180036824823,51.72516880792233
3,tls,avg_latency_ms,Average latency ms,432,1120.439261537771,485.3494128024852,1419.1398838314622,-20.869041144217896,151.10425565355763,1743.8870132126049,6954.148625292784
3,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,432,10.3128637767159,1.1944793489315098,222.75792239001257,-98.5112542775966,-2.178872635605396,7.118481002242859,4603.499892392945
3,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,10,109.49118965697008,-100.0,627.7544743029126,-100.0,-100.0,-100.0,1992.7536231884058
3,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,432,16.393237960769827,6.373582938800331,89.95319562725886,-91.17713140111647,-5.001034348289243,18.85178332923494,1393.0702468131271
3,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,432,10.504585520386318,6.953294802687722,19.566087917385467,-59.474340705611475,0.14006376472630863,18.643236339425936,306.7734046208456
3,tls,benchmark_client_network_rx_bytes_delta,Benchmark client network RX bytes,432,30.5794910793156,25.803039427115863,27.857304334482233,-12.626930735250031,16.7628130171224,38.993967114459345,177.85983581635756
3,tls,benchmark_client_network_tx_bytes_delta,Benchmark client network TX bytes,432,2.392247936933789,0.563067123702675,3.993244198333819,0.07287558199494784,0.44702876866715946,1.95350706730048,14.341149106855939
3,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,429,-3.4211862381316,-3.670894570834153,28.888992760897032,-68.66848887153456,-29.745567836213922,21.270371918094444,69.88643454386623
3,tls,broker_cpu_percent_mean,Broker CPU mean %,429,-12.34137822759922,-10.4728374326017,45.331614401467725,-83.52359766109423,-50.12267579824725,32.10432435333441,66.45381362220584
3,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,178,42.596622489131505,-30.684022142630624,521.7054495311886,-100.0,-56.70593163098015,-4.494377572995008,5940.073529411764
3,tls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,178,42.40484216706969,-31.046557242024594,521.7264607219014,-100.0,-56.70593163098015,-5.681736921701297,5940.073529411765
3,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,429,1.2101751070187143,-1.3879839012290862,27.84878518899425,-81.62053207367174,-6.322529011604636,2.0776994398300173,178.4245350500715
3,tls,broker_disk_write_sectors_delta_total,Broker disk write sectors total,429,1.1295949467337696,-1.4566047763422236,27.891424750611556,-81.62053207367174,-6.366052607460361,1.8523219319083875,178.4245350500715
3,tls,broker_memory_used_percent_mean,Broker memory %,429,1.5763602496808102,1.69310524294399,1.3326314769422065,-7.573791220967328,0.8419773930156752,2.2475868174585925,5.112722588606834
3,tls,broker_network_rx_bytes_delta_mean,Broker network RX bytes mean,429,2.083218696421768,0.6429843845683612,3.0352700104316543,0.08250798531050738,0.5805623738679068,1.595362290467879,13.53149428492945
