compression_type,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
none,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,12,43.582166666666666,38.117,18.826605118968093,22.662,26.5665,60.446,73.412
none,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,12,54.15983333333333,55.925,12.555056178245037,35.796,41.974,66.803,70.726
none,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,12,49.60616666666666,54.542,15.88711556489164,29.421999999999997,32.3635,64.411,68.686
lz4,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,9.203618315317073,9.203185483870968,1.0089512059346735,8.1084,8.207077572964671,10.15329592363261,10.37125
lz4,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,11.05125088206844,10.994187499999999,0.5632344237884017,10.4436,10.496617113485184,11.525434027777777,12.050748299319729
lz4,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,11.483198298966451,10.476796875000002,1.7826346567528104,9.36668150346192,10.4312890625,12.322030946649061,16.392093457943925
none,mtls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,8.940386298379133,8.676220430107527,0.9798492810802808,7.90144,8.022304147465437,9.848416666666665,10.343866666666669
none,plaintext,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,10.999249990791304,10.805501165501166,0.6796253563892611,10.290393700787403,10.36611914600551,11.669247359154928,11.997676056338028
none,tls,benchmark_client_memory_used_percent_mean,Benchmark client memory %,12,11.067471008677645,10.923930674264007,0.8130010818110066,10.21,10.27208661417323,11.86134673566879,12.156178343949044
lz4,mtls,broker_memory_used_percent_mean,Broker memory %,12,22.438562092084606,22.498203217275893,0.5518860261654529,21.783521983333515,21.801781608540864,22.954395819220377,23.16142902955261
lz4,plaintext,broker_memory_used_percent_mean,Broker memory %,12,18.798113075271015,18.75897597296256,2.9628781896887775,15.262706153021655,16.061345577148742,21.573110464609343,22.270680450615977
lz4,tls,broker_memory_used_percent_mean,Broker memory %,12,24.025113372099117,24.020576956935066,0.2186720439967217,23.746366187134804,23.90835028244593,24.038239661547156,24.676076615132807
none,mtls,broker_memory_used_percent_mean,Broker memory %,12,22.430786329653344,22.35908661440117,0.6519470764176009,21.747308618559785,21.78571517521607,23.02175718229062,23.384032624474436
none,plaintext,broker_memory_used_percent_mean,Broker memory %,12,18.137416629710653,17.774410377126756,3.0466488389332875,13.78147659364008,15.517408003022567,21.170319208934544,21.85905427572989
