batch_size,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
131072,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,2191.5408912036946,298.0,3334.0456510511026,4.01,19.727499999999996,3957.486249999999,11489.7
131072,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,6041.171747685182,4662.372499999998,5797.4943043910525,7.389999999999932,286.66625,9530.6875,19770.999999999993
16384,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,8922.907996527778,8751.574999999999,7322.19273921006,51.10400000000001,532.2372499999999,17051.308999999997,22457.13399999999
16384,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,4321.918550925925,2713.132500000014,4270.930644907016,7.114999999999999,161.23225000000002,9228.317500000001,13154.794999999998
16384,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,8694.862967592593,8465.284500000002,7033.91702119313,42.10200000000001,572.71775,16063.574999999999,21524.352000000003
131072,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,8971.432675925924,8831.055,7419.583645902947,39.26000000000001,336.86375,17347.449999999997,32155.5
131072,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,3749.027609953703,755.2179999999998,4227.303609807623,4.082,23.183750000000003,9099.105000000001,11677.14
131072,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,8578.858869212963,8479.505000000001,6995.618947719509,30.35800000000001,320.79074999999995,16100.195000000003,20705.44
16384,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,8645.501793981479,8235.575,6883.970119222572,133.79999999999774,1290.3624999999997,15670.75,22858.15
16384,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,3627.7764467592533,1856.1499999999944,3629.673465600515,83.19999999999878,744.2999999999988,5935.862499999999,14061.25
16384,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,8410.171354166665,8027.249999999998,6729.223847527394,122.89999999999796,1249.6374999999998,15196.6375,22227.049999999996
131072,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,8083.2950231481445,7016.374999999996,6597.441791868079,127.59999999999778,1318.6000000000001,14033.34999999999,31667.5
131072,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,3031.460358796287,1465.25,3107.6385172134624,80.99999999999872,638.1374999999999,5016.962499999901,11489.7
131072,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,7774.310532407404,7037.224999999992,6317.413444577839,111.099999999998,1163.7,13987.975,20223.0
